Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Load profile 2;;;;;;;
Meter serial number : ;Danny Boy Service Sta ... (N° 63037073) - Kalkveld;;;;;;
Start date : ;01/07/2020;;;;;;
End date : ;01/09/2021;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Number;Label;Unit;;;;;
1;Import Active Energy Aggregate;Wh;;;;;
2;Import Apparent Energy Aggregate;VAh;;;;;
3;Export Active Energy Aggregate;Wh;;;;;
4;Export Apparent Energy Aggregate;VAh;;;;;
5;Import Active Power Aggregate;W;;;;;
6;Import Apparent Power Aggregate;VA;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Date;1;2;3;4;5;6;
01/07/2020 00:30;1 640;2 250;0;0;3 270;4 510;
01/07/2020 01:00;1 860;2 570;0;0;3 730;5 140;
01/07/2020 01:30;1 630;2 240;0;0;3 260;4 480;
01/07/2020 02:00;1 700;2 330;0;0;3 400;4 660;
01/07/2020 02:30;1 740;2 370;0;0;3 480;4 730;
01/07/2020 03:00;1 620;2 190;0;0;3 240;4 390;
01/07/2020 03:30;1 700;2 310;0;0;3 390;4 620;
01/07/2020 04:00;1 700;2 350;0;0;3 410;4 700;
01/07/2020 04:30;1 640;2 250;0;0;3 270;4 490;
01/07/2020 05:00;1 840;2 570;0;0;3 690;5 140;
01/07/2020 05:30;1 610;2 240;0;0;3 220;4 480;
01/07/2020 06:00;1 740;2 410;0;0;3 470;4 830;
01/07/2020 06:30;1 660;2 260;0;0;3 320;4 520;
01/07/2020 07:00;1 770;2 360;0;0;3 550;4 710;
01/07/2020 07:30;2 180;2 770;0;0;4 350;5 540;
01/07/2020 08:00;1 960;3 020;0;0;3 930;6 040;
01/07/2020 08:30;1 870;2 970;0;0;3 740;5 940;
01/07/2020 09:00;1 930;3 140;0;0;3 860;6 280;
01/07/2020 09:30;1 630;2 690;70;280;3 250;5 390;
01/07/2020 10:00;900;1 890;220;510;1 810;3 770;
01/07/2020 10:30;800;1 740;440;750;1 590;3 490;
01/07/2020 11:00;670;1 790;600;970;1 350;3 580;
01/07/2020 11:30;400;1 340;770;1 260;800;2 680;
01/07/2020 12:00;600;1 650;930;1 370;1 200;3 290;
01/07/2020 12:30;600;1 780;980;1 400;1 190;3 570;
01/07/2020 13:00;680;2 060;1 030;1 270;1 370;4 110;
01/07/2020 13:30;510;1 560;1 010;1 600;1 010;3 130;
01/07/2020 14:00;470;1 610;1 040;1 410;940;3 210;
01/07/2020 14:30;930;2 570;700;1 110;1 860;5 150;
01/07/2020 15:00;660;1 800;720;1 260;1 330;3 590;
01/07/2020 15:30;710;1 880;640;1 080;1 420;3 760;
01/07/2020 16:00;950;2 180;500;730;1 890;4 360;
01/07/2020 16:30;1 220;2 540;310;590;2 450;5 080;
01/07/2020 17:00;1 510;2 630;130;340;3 020;5 270;
01/07/2020 17:30;1 840;2 990;40;250;3 680;5 970;
01/07/2020 18:00;1 720;2 760;0;100;3 430;5 520;
01/07/2020 18:30;2 220;3 320;0;0;4 440;6 650;
01/07/2020 19:00;2 450;3 320;0;0;4 910;6 630;
01/07/2020 19:30;2 290;3 000;0;0;4 570;6 010;
01/07/2020 20:00;2 020;2 670;0;0;4 050;5 330;
01/07/2020 20:30;2 080;2 770;0;0;4 150;5 540;
01/07/2020 21:00;1 720;2 360;0;0;3 440;4 730;
01/07/2020 21:30;1 840;2 590;0;0;3 690;5 180;
01/07/2020 22:00;1 890;2 700;0;0;3 780;5 390;
01/07/2020 22:30;1 950;2 740;0;0;3 900;5 480;
01/07/2020 23:00;1 730;2 410;0;0;3 450;4 830;
01/07/2020 23:30;1 730;2 420;0;0;3 470;4 830;
02/07/2020 00:00;1 880;2 610;0;0;3 760;5 220;
02/07/2020 00:30;1 850;2 590;0;0;3 700;5 180;
02/07/2020 01:00;1 740;2 410;0;0;3 480;4 830;
02/07/2020 01:30;1 820;2 570;0;0;3 640;5 130;
02/07/2020 02:00;1 990;2 830;0;0;3 980;5 660;
02/07/2020 02:30;1 760;2 490;0;0;3 520;4 980;
02/07/2020 03:00;1 850;2 600;0;0;3 700;5 210;
02/07/2020 03:30;1 990;2 810;0;0;3 970;5 610;
02/07/2020 04:00;1 750;2 450;0;0;3 510;4 910;
02/07/2020 04:30;1 830;2 530;0;0;3 650;5 060;
02/07/2020 05:00;1 740;2 410;0;0;3 480;4 810;
02/07/2020 05:30;1 640;2 240;0;0;3 290;4 480;
02/07/2020 06:00;1 830;2 540;0;0;3 660;5 080;
02/07/2020 06:30;1 640;2 210;0;0;3 270;4 430;
02/07/2020 07:00;2 000;2 820;0;0;4 000;5 630;
02/07/2020 07:30;2 670;3 500;0;0;5 350;7 010;
02/07/2020 08:00;2 620;3 620;0;0;5 230;7 230;
